id,user,date,pc,activity
E399,U122,2024-01-01 07:19:59.141868,PC-122,Logon
E400,U122,2024-01-01 15:12:24.641820,PC-122,Logoff
E418,U123,2024-01-01 06:49:25.198929,PC-123,Logon
E419,U123,2024-01-01 14:42:59.551636,PC-123,Logoff
E444,U124,2024-01-01 06:44:25.783852,PC-124,Logon
E445,U124,2024-01-01 13:52:37.157489,PC-124,Logoff
E454,U125,2024-01-01 06:58:42.253866,PC-125,Logon
E455,U125,2024-01-01 15:29:05.071252,PC-125,Logoff
E476,U126,2024-01-01 06:45:27.209973,PC-126,Logon
E477,U126,2024-01-01 14:37:54.450174,PC-126,Logoff
E499,U127,2024-01-01 07:02:47.396828,PC-127,Logon
E500,U127,2024-01-01 14:29:33.712779,PC-127,Logoff
E509,U128,2024-01-01 07:17:33.197671,PC-128,Logon
E510,U128,2024-01-01 14:37:02.828848,PC-128,Logoff
E524,U129,2024-01-01 06:00:39.278848,PC-129,Logon
E525,U129,2024-01-01 12:13:00.810197,PC-129,Logoff
E533,U130,2024-01-01 23:32:00.000000,PC-130,Logon
E534,U130,2024-01-02 07:52:14.590391,PC-130,Logoff
E553,U131,2024-01-01 06:03:08.451757,PC-131,Logon
E554,U131,2024-01-01 15:35:20.373815,PC-131,Logoff
E564,U132,2024-01-01 05:12:00.000000,PC-132,Logon
E565,U132,2024-01-01 13:23:06.625516,PC-132,Logoff
E577,U133,2024-01-01 17:30:00.000000,PC-133,Logon
E578,U133,2024-01-02 01:46:04.575466,PC-133,Logoff
E591,U134,2024-01-01 05:51:00.000000,PC-134,Logon
E592,U134,2024-01-01 14:49:33.545869,PC-134,Logoff
E609,U135,2024-01-01 23:33:00.000000,PC-135,Logon
E610,U135,2024-01-02 08:27:57.032542,PC-135,Logoff
E618,U136,2024-01-01 07:05:24.601034,PC-136,Logon
E619,U136,2024-01-01 13:02:59.632532,PC-136,Logoff
E634,U137,2024-01-01 07:04:41.322496,PC-137,Logon
E635,U137,2024-01-01 15:24:31.740107,PC-137,Logoff
E647,U138,2024-01-01 07:48:36.037540,PC-138,Logon
E648,U138,2024-01-01 16:10:54.500888,PC-138,Logoff
E669,U139,2024-01-01 06:15:24.362924,PC-139,Logon
E670,U139,2024-01-01 14:49:31.484540,PC-139,Logoff
E684,U140,2024-01-01 06:59:11.070768,PC-140,Logon
E685,U140,2024-01-01 14:44:14.721417,PC-140,Logoff
E697,U141,2024-01-01 07:48:00.000000,PC-141,Logon
E698,U141,2024-01-01 14:11:33.559305,PC-141,Logoff
E711,U142,2024-01-01 07:58:20.900474,PC-142,Logon
E712,U142,2024-01-01 16:13:28.540102,PC-142,Logoff
E727,U143,2024-01-01 01:31:00.000000,PC-143,Logon
E728,U143,2024-01-01 09:41:09.454170,PC-143,Logoff
E745,U144,2024-01-01 06:42:39.619752,PC-144,Logon
E746,U144,2024-01-01 15:04:30.476112,PC-144,Logoff
E769,U145,2024-01-01 16:14:00.000000,PC-145,Logon
E770,U145,2024-01-01 23:31:04.536694,PC-145,Logoff
E789,U146,2024-01-01 07:58:32.957061,PC-146,Logon
E790,U146,2024-01-01 14:38:16.056074,PC-146,Logoff
E813,U147,2024-01-01 07:33:09.029519,PC-147,Logon
E814,U147,2024-01-01 16:20:29.620169,PC-147,Logoff
E832,U148,2024-01-01 06:43:31.774581,PC-148,Logon
E833,U148,2024-01-01 15:24:49.938372,PC-148,Logoff
E853,U149,2024-01-01 06:50:01.512091,PC-149,Logon
E854,U149,2024-01-01 15:44:56.251172,PC-149,Logoff
E876,U150,2024-01-01 23:58:00.000000,PC-150,Logon
E877,U150,2024-01-02 06:27:55.667013,PC-150,Logoff
E894,U151,2024-01-01 07:25:20.421887,PC-151,Logon
E895,U151,2024-01-01 16:04:54.667606,PC-151,Logoff
E911,U152,2024-01-01 23:06:00.000000,PC-152,Logon
E912,U152,2024-01-02 07:14:42.979901,PC-152,Logoff
E934,U153,2024-01-01 06:46:00.000000,PC-153,Logon
E935,U153,2024-01-01 15:35:56.919428,PC-153,Logoff
E956,U154,2024-01-01 07:35:36.284924,PC-154,Logon
E957,U154,2024-01-01 17:57:12.925108,PC-154,Logoff
E963,U155,2024-01-01 22:09:00.000000,PC-155,Logon
E964,U155,2024-01-02 05:58:27.384528,PC-155,Logoff
E982,U156,2024-01-01 06:05:24.677980,PC-156,Logon
E983,U156,2024-01-01 13:07:49.831763,PC-156,Logoff
E1005,U157,2024-01-01 06:58:49.615025,PC-157,Logon
E1006,U157,2024-01-01 14:29:50.625772,PC-157,Logoff
E1025,U158,2024-01-01 06:34:42.900340,PC-158,Logon
E1026,U158,2024-01-01 14:46:45.390970,PC-158,Logoff
E1043,U159,2024-01-01 06:31:16.073506,PC-159,Logon
E1044,U159,2024-01-01 15:09:04.484760,PC-159,Logoff
E1059,U160,2024-01-01 06:11:08.905782,PC-160,Logon
E1060,U160,2024-01-01 13:47:10.092582,PC-160,Logoff
E1070,U161,2024-01-01 07:39:00.727972,PC-161,Logon
E1071,U161,2024-01-01 15:10:34.205642,PC-161,Logoff
E1079,U162,2024-01-01 11:34:00.000000,PC-162,Logon
E1080,U162,2024-01-01 18:07:23.339034,PC-162,Logoff
E1100,U163,2024-01-01 07:24:07.852653,PC-163,Logon
E1101,U163,2024-01-01 15:00:10.697453,PC-163,Logoff
E1112,U164,2024-01-01 06:51:02.714347,PC-164,Logon
E1113,U164,2024-01-01 13:28:55.147023,PC-164,Logoff
E1121,U165,2024-01-01 07:36:09.846001,PC-165,Logon
E1122,U165,2024-01-01 16:45:44.503879,PC-165,Logoff
E1134,U166,2024-01-01 07:55:26.037896,PC-166,Logon
E1135,U166,2024-01-01 14:15:48.459798,PC-166,Logoff
E1153,U167,2024-01-01 21:33:00.000000,PC-167,Logon
E1154,U167,2024-01-02 05:44:36.535809,PC-167,Logoff
E1176,U168,2024-01-01 07:03:58.566461,PC-168,Logon
E1177,U168,2024-01-01 16:01:32.627886,PC-168,Logoff
E1187,U169,2024-01-01 04:47:00.000000,PC-169,Logon
E1188,U169,2024-01-01 12:19:09.115401,PC-169,Logoff
E1201,U170,2024-01-01 07:50:50.548431,PC-170,Logon
E1202,U170,2024-01-01 16:01:28.686662,PC-170,Logoff
E1222,U171,2024-01-01 07:03:13.819121,PC-171,Logon
E1223,U171,2024-01-01 14:16:43.178274,PC-171,Logoff
E1232,U172,2024-01-01 07:11:08.663310,PC-172,Logon
E1233,U172,2024-01-01 16:38:27.532654,PC-172,Logoff
E1248,U173,2024-01-01 16:05:00.000000,PC-173,Logon
E1249,U173,2024-01-01 23:12:40.086391,PC-173,Logoff
E1270,U174,2024-01-01 07:36:07.044462,PC-174,Logon
E1271,U174,2024-01-01 15:35:00.393958,PC-174,Logoff
E1282,U175,2024-01-01 06:53:54.156392,PC-175,Logon
E1283,U175,2024-01-01 12:38:56.864008,PC-175,Logoff
E1291,U176,2024-01-01 06:32:58.444153,PC-176,Logon
E1292,U176,2024-01-01 13:41:15.344101,PC-176,Logoff
E1303,U177,2024-01-01 06:46:20.377906,PC-177,Logon
E1304,U177,2024-01-01 14:46:34.012158,PC-177,Logoff
E1320,U178,2024-01-01 06:30:59.757276,PC-178,Logon
E1321,U178,2024-01-01 14:39:03.032639,PC-178,Logoff
E1339,U179,2024-01-01 06:10:06.096205,PC-179,Logon
E1340,U179,2024-01-01 12:34:43.026577,PC-179,Logoff
E1360,U180,2024-01-01 05:37:00.000000,PC-180,Logon
E1361,U180,2024-01-01 12:49:41.168264,PC-180,Logoff
E1385,U181,2024-01-01 06:45:06.749567,PC-181,Logon
E1386,U181,2024-01-01 15:04:06.557168,PC-181,Logoff
E1396,U182,2024-01-01 06:24:28.633728,PC-182,Logon
E1397,U182,2024-01-01 13:11:17.120493,PC-182,Logoff
E1404,U183,2024-01-01 06:59:21.641908,PC-183,Logon
E1405,U183,2024-01-01 14:23:43.937492,PC-183,Logoff
E1425,U184,2024-01-01 07:09:26.493630,PC-184,Logon
E1426,U184,2024-01-01 14:12:33.537829,PC-184,Logoff
E1447,U185,2024-01-01 07:16:33.646832,PC-185,Logon
E1448,U185,2024-01-01 15:01:55.856966,PC-185,Logoff
E1456,U186,2024-01-01 06:17:57.229687,PC-186,Logon
E1457,U186,2024-01-01 15:41:11.144099,PC-186,Logoff
E1468,U187,2024-01-01 06:03:38.747051,PC-187,Logon
E1469,U187,2024-01-01 14:44:22.756406,PC-187,Logoff
E1488,U188,2024-01-01 13:13:00.000000,PC-188,Logon
E1489,U188,2024-01-01 21:01:07.310749,PC-188,Logoff
E1513,U189,2024-01-01 06:40:57.213777,PC-189,Logon
E1514,U189,2024-01-01 16:15:24.446192,PC-189,Logoff
E1533,U190,2024-01-01 07:10:59.282755,PC-190,Logon
E1534,U190,2024-01-01 15:18:32.994998,PC-190,Logoff
E1552,U191,2024-01-01 07:15:28.539891,PC-191,Logon
E1553,U191,2024-01-01 14:30:33.610489,PC-191,Logoff
E1569,U192,2024-01-01 07:53:13.743020,PC-192,Logon
E1570,U192,2024-01-01 15:49:36.312778,PC-192,Logoff
E1581,U193,2024-01-01 07:12:33.957920,PC-193,Logon
E1582,U193,2024-01-01 15:27:59.650037,PC-193,Logoff
E1598,U194,2024-01-01 06:15:24.436190,PC-194,Logon
E1599,U194,2024-01-01 14:10:54.279225,PC-194,Logoff
E1608,U195,2024-01-01 06:50:44.214994,PC-195,Logon
E1609,U195,2024-01-01 14:56:19.079094,PC-195,Logoff
E1625,U196,2024-01-01 07:09:00.342549,PC-196,Logon
E1626,U196,2024-01-01 15:59:27.769202,PC-196,Logoff
E1639,U197,2024-01-01 07:15:34.951499,PC-197,Logon
E1640,U197,2024-01-01 17:01:58.990930,PC-197,Logoff
E1661,U198,2024-01-01 06:44:09.211828,PC-198,Logon
E1662,U198,2024-01-01 13:56:46.732368,PC-198,Logoff
E1678,U199,2024-01-01 07:25:03.229850,PC-199,Logon
E1679,U199,2024-01-01 15:53:43.529827,PC-199,Logoff
E1690,U100,2024-01-02 06:08:23.304881,PC-100,Logon
E1691,U100,2024-01-02 14:01:33.046188,PC-100,Logoff
E1709,U101,2024-01-02 06:54:00.000000,PC-101,Logon
E1710,U101,2024-01-02 14:08:52.515994,PC-101,Logoff
E1721,U102,2024-01-02 07:55:43.080090,PC-102,Logon
E1722,U102,2024-01-02 15:25:15.108896,PC-102,Logoff
E1744,U103,2024-01-02 07:25:26.007606,PC-103,Logon
E1745,U103,2024-01-02 14:47:03.755794,PC-103,Logoff
E1761,U104,2024-01-02 07:37:35.361775,PC-104,Logon
E1762,U104,2024-01-02 17:26:36.958171,PC-104,Logoff
E1785,U105,2024-01-02 07:06:12.303439,PC-105,Logon
E1786,U105,2024-01-02 15:37:51.484156,PC-105,Logoff
E1811,U106,2024-01-02 06:10:09.150574,PC-106,Logon
E1812,U106,2024-01-02 13:35:37.928172,PC-106,Logoff
E1829,U107,2024-01-02 14:28:00.000000,PC-107,Logon
E1830,U107,2024-01-02 23:00:11.239848,PC-107,Logoff
E1851,U108,2024-01-02 07:51:06.405825,PC-108,Logon
E1852,U108,2024-01-02 15:36:38.836824,PC-108,Logoff
E1874,U109,2024-01-02 07:34:33.600548,PC-109,Logon
E1875,U109,2024-01-02 15:50:51.643172,PC-109,Logoff
E1889,U110,2024-01-02 06:48:25.411445,PC-110,Logon
E1890,U110,2024-01-02 14:08:52.218596,PC-110,Logoff
E1906,U111,2024-01-02 11:39:00.000000,PC-111,Logon
E1907,U111,2024-01-02 18:37:45.535273,PC-111,Logoff
E1916,U112,2024-01-02 08:15:00.000000,PC-112,Logon
E1917,U112,2024-01-02 16:36:12.510531,PC-112,Logoff
E1936,U113,2024-01-02 06:35:22.442178,PC-113,Logon
E1937,U113,2024-01-02 14:18:01.478504,PC-113,Logoff
E1949,U114,2024-01-02 07:39:19.340244,PC-114,Logon
E1950,U114,2024-01-02 13:35:42.754212,PC-114,Logoff
E1966,U115,2024-01-02 06:49:35.876139,PC-115,Logon
E1967,U115,2024-01-02 14:17:32.856458,PC-115,Logoff
E1981,U116,2024-01-02 07:07:46.827147,PC-116,Logon
E1982,U116,2024-01-02 13:43:25.485024,PC-116,Logoff
E2001,U117,2024-01-02 07:50:11.498095,PC-117,Logon
E2002,U117,2024-01-02 15:08:22.673073,PC-117,Logoff
E2016,U118,2024-01-02 06:07:07.710609,PC-118,Logon
E2017,U118,2024-01-02 13:01:31.272866,PC-118,Logoff
E2036,U119,2024-01-02 07:29:29.520182,PC-119,Logon
E2037,U119,2024-01-02 16:16:33.974568,PC-119,Logoff
E2047,U120,2024-01-02 06:16:25.786541,PC-120,Logon
E2048,U120,2024-01-02 15:14:20.573237,PC-120,Logoff
E2062,U121,2024-01-02 06:26:37.142757,PC-121,Logon
E2063,U121,2024-01-02 12:47:53.219597,PC-121,Logoff
E2084,U122,2024-01-02 06:23:10.467711,PC-122,Logon
E2085,U122,2024-01-02 14:08:24.738779,PC-122,Logoff
E2106,U123,2024-01-02 06:13:11.134673,PC-123,Logon
E2107,U123,2024-01-02 14:51:49.243975,PC-123,Logoff
E2116,U124,2024-01-02 06:31:58.371649,PC-124,Logon
E2117,U124,2024-01-02 14:28:51.476930,PC-124,Logoff
E2136,U125,2024-01-02 06:00:21.955089,PC-125,Logon
E2137,U125,2024-01-02 13:14:10.776240,PC-125,Logoff
E2160,U126,2024-01-02 07:32:35.418055,PC-126,Logon
E2161,U126,2024-01-02 13:39:52.449841,PC-126,Logoff
E2180,U127,2024-01-02 06:09:49.388317,PC-127,Logon
E2181,U127,2024-01-02 13:48:55.850463,PC-127,Logoff
E2202,U128,2024-01-02 07:08:26.799611,PC-128,Logon
E2203,U128,2024-01-02 16:56:34.262473,PC-128,Logoff
E2219,U129,2024-01-02 06:38:03.850562,PC-129,Logon
E2220,U129,2024-01-02 13:50:06.996372,PC-129,Logoff
E2238,U130,2024-01-02 07:48:44.449745,PC-130,Logon
E2239,U130,2024-01-02 15:11:36.897400,PC-130,Logoff
E2254,U131,2024-01-02 07:35:10.804434,PC-131,Logon
E2255,U131,2024-01-02 16:16:50.086345,PC-131,Logoff
E2271,U132,2024-01-02 07:44:27.085821,PC-132,Logon
E2272,U132,2024-01-02 15:07:40.350301,PC-132,Logoff
E2292,U133,2024-01-02 11:01:00.000000,PC-133,Logon
E2293,U133,2024-01-02 20:07:53.527809,PC-133,Logoff
E2303,U134,2024-01-02 13:00:00.000000,PC-134,Logon
E2304,U134,2024-01-02 22:09:44.966295,PC-134,Logoff
E2320,U135,2024-01-02 18:51:00.000000,PC-135,Logon
E2321,U135,2024-01-03 02:34:56.235089,PC-135,Logoff
E2341,U136,2024-01-02 07:39:14.443036,PC-136,Logon
E2342,U136,2024-01-02 15:12:12.366332,PC-136,Logoff
E2364,U137,2024-01-02 06:45:05.842908,PC-137,Logon
E2365,U137,2024-01-02 13:53:47.138230,PC-137,Logoff
E2385,U138,2024-01-02 07:03:07.279382,PC-138,Logon
E2386,U138,2024-01-02 15:37:31.449879,PC-138,Logoff
E2408,U139,2024-01-02 06:25:48.208195,PC-139,Logon
E2409,U139,2024-01-02 13:57:29.884215,PC-139,Logoff
E2421,U140,2024-01-02 06:20:14.150971,PC-140,Logon
E2422,U140,2024-01-02 13:03:20.095051,PC-140,Logoff
E2436,U141,2024-01-02 07:57:41.241220,PC-141,Logon
E2437,U141,2024-01-02 16:42:42.401924,PC-141,Logoff
E2454,U142,2024-01-02 07:33:00.532120,PC-142,Logon
E2455,U142,2024-01-02 15:56:28.383198,PC-142,Logoff
E2481,U143,2024-01-02 20:46:00.000000,PC-143,Logon
E2482,U143,2024-01-03 05:26:05.652350,PC-143,Logoff
E2503,U144,2024-01-02 07:30:01.713878,PC-144,Logon
E2504,U144,2024-01-02 15:10:45.145910,PC-144,Logoff
E2525,U145,2024-01-02 07:14:04.224328,PC-145,Logon
E2526,U145,2024-01-02 15:19:04.779413,PC-145,Logoff
E2552,U146,2024-01-02 02:43:00.000000,PC-146,Logon
E2553,U146,2024-01-02 11:59:50.271191,PC-146,Logoff
E2567,U147,2024-01-02 06:42:34.678384,PC-147,Logon
E2568,U147,2024-01-02 14:06:32.948472,PC-147,Logoff
E2581,U148,2024-01-02 07:19:29.820090,PC-148,Logon
E2582,U148,2024-01-02 15:07:48.529411,PC-148,Logoff
E2608,U149,2024-01-02 06:45:19.809789,PC-149,Logon
E2609,U149,2024-01-02 14:11:58.088360,PC-149,Logoff
E2628,U150,2024-01-02 05:42:00.000000,PC-150,Logon
E2629,U150,2024-01-02 15:06:06.047872,PC-150,Logoff
E2647,U151,2024-01-02 06:55:13.310197,PC-151,Logon
E2648,U151,2024-01-02 15:00:55.591109,PC-151,Logoff
E2669,U152,2024-01-02 20:51:00.000000,PC-152,Logon
E2670,U152,2024-01-03 05:05:09.092819,PC-152,Logoff
E2687,U153,2024-01-02 15:45:00.000000,PC-153,Logon
E2688,U153,2024-01-02 23:11:10.431540,PC-153,Logoff
E2707,U154,2024-01-02 07:44:59.276503,PC-154,Logon
E2708,U154,2024-01-02 16:25:24.790446,PC-154,Logoff
E2730,U155,2024-01-02 08:31:00.000000,PC-155,Logon
E2731,U155,2024-01-02 17:38:46.917417,PC-155,Logoff
E2741,U156,2024-01-02 07:53:16.598077,PC-156,Logon
E2742,U156,2024-01-02 15:53:33.017076,PC-156,Logoff
E2759,U157,2024-01-02 07:11:18.648356,PC-157,Logon
E2760,U157,2024-01-02 14:58:19.572327,PC-157,Logoff
E2776,U158,2024-01-02 07:41:13.632568,PC-158,Logon
E2777,U158,2024-01-02 15:31:15.158487,PC-158,Logoff
E2798,U159,2024-01-02 06:34:44.112632,PC-159,Logon
E2799,U159,2024-01-02 15:29:20.262259,PC-159,Logoff
E2821,U160,2024-01-02 06:56:42.032715,PC-160,Logon
E2822,U160,2024-01-02 15:04:10.041633,PC-160,Logoff
E2834,U161,2024-01-02 07:43:20.254474,PC-161,Logon
E2835,U161,2024-01-02 14:30:24.583240,PC-161,Logoff
E2853,U162,2024-01-02 15:39:00.000000,PC-162,Logon
E2854,U162,2024-01-03 00:16:08.893227,PC-162,Logoff
E2873,U163,2024-01-02 07:06:31.552804,PC-163,Logon
E2874,U163,2024-01-02 14:15:52.352904,PC-163,Logoff
E2888,U164,2024-01-02 06:08:03.414758,PC-164,Logon
E2889,U164,2024-01-02 13:47:20.853977,PC-164,Logoff
E2905,U165,2024-01-02 06:58:20.186010,PC-165,Logon
E2906,U165,2024-01-02 15:12:15.543825,PC-165,Logoff
E2920,U166,2024-01-02 06:17:03.745835,PC-166,Logon
E2921,U166,2024-01-02 14:31:21.431819,PC-166,Logoff
E2943,U167,2024-01-02 09:08:00.000000,PC-167,Logon
E2944,U167,2024-01-02 16:21:17.547323,PC-167,Logoff
E2959,U168,2024-01-02 06:30:50.562791,PC-168,Logon
E2960,U168,2024-01-02 15:25:19.791139,PC-168,Logoff
E2968,U169,2024-01-02 23:14:00.000000,PC-169,Logon
E2969,U169,2024-01-03 06:54:04.094630,PC-169,Logoff
E2983,U170,2024-01-02 07:42:47.942479,PC-170,Logon
E2984,U170,2024-01-02 15:13:35.753975,PC-170,Logoff
E2997,U171,2024-01-02 06:33:25.951923,PC-171,Logon
E2998,U171,2024-01-02 15:18:43.838430,PC-171,Logoff
E3014,U172,2024-01-02 07:22:30.324722,PC-172,Logon
E3015,U172,2024-01-02 14:12:21.676037,PC-172,Logoff
E3028,U173,2024-01-02 05:38:00.000000,PC-173,Logon
E3029,U173,2024-01-02 14:03:08.546590,PC-173,Logoff
E3049,U174,2024-01-02 07:58:00.000000,PC-174,Logon
E3050,U174,2024-01-02 15:41:36.872408,PC-174,Logoff
E3073,U175,2024-01-02 07:36:09.812926,PC-175,Logon
E3074,U175,2024-01-02 14:42:56.447642,PC-175,Logoff
E3095,U176,2024-01-02 06:51:31.301341,PC-176,Logon
E3096,U176,2024-01-02 15:04:27.511410,PC-176,Logoff
E3113,U177,2024-01-02 07:39:53.639588,PC-177,Logon
E3114,U177,2024-01-02 15:22:54.710482,PC-177,Logoff
E3129,U178,2024-01-02 06:13:28.937561,PC-178,Logon
E3130,U178,2024-01-02 14:43:46.768637,PC-178,Logoff
E3142,U179,2024-01-02 07:33:04.562863,PC-179,Logon
E3143,U179,2024-01-02 14:35:50.937773,PC-179,Logoff
E3153,U180,2024-01-02 12:55:00.000000,PC-180,Logon
E3154,U180,2024-01-02 21:45:13.427341,PC-180,Logoff
E3172,U181,2024-01-02 16:22:00.000000,PC-181,Logon
E3173,U181,2024-01-02 23:45:37.109583,PC-181,Logoff
E3192,U182,2024-01-02 07:26:40.003654,PC-182,Logon
E3193,U182,2024-01-02 14:03:38.439364,PC-182,Logoff
E3209,U183,2024-01-02 06:16:55.523784,PC-183,Logon
E3210,U183,2024-01-02 13:10:10.487984,PC-183,Logoff
E3229,U184,2024-01-02 06:32:06.967042,PC-184,Logon
E3230,U184,2024-01-02 14:34:18.322911,PC-184,Logoff
E3245,U185,2024-01-02 06:26:06.587919,PC-185,Logon
E3246,U185,2024-01-02 14:25:37.901419,PC-185,Logoff
E3261,U186,2024-01-02 06:42:54.499994,PC-186,Logon
E3262,U186,2024-01-02 15:38:19.282672,PC-186,Logoff
E3272,U187,2024-01-02 06:24:43.597566,PC-187,Logon
E3273,U187,2024-01-02 12:30:46.062006,PC-187,Logoff
E3290,U188,2024-01-02 03:46:00.000000,PC-188,Logon
E3291,U188,2024-01-02 10:12:56.802730,PC-188,Logoff
E3301,U189,2024-01-02 06:55:22.864012,PC-189,Logon
E3302,U189,2024-01-02 13:38:32.026238,PC-189,Logoff
E3321,U190,2024-01-02 07:22:15.489535,PC-190,Logon
E3322,U190,2024-01-02 15:31:31.123455,PC-190,Logoff
E3339,U191,2024-01-02 06:28:55.649189,PC-191,Logon
E3340,U191,2024-01-02 13:24:00.069301,PC-191,Logoff
E3364,U192,2024-01-02 07:47:37.810624,PC-192,Logon
E3365,U192,2024-01-02 17:21:53.090719,PC-192,Logoff
E3389,U193,2024-01-02 12:23:00.000000,PC-193,Logon
E3390,U193,2024-01-02 20:35:40.748318,PC-193,Logoff
E3404,U194,2024-01-02 06:07:06.563872,PC-194,Logon
E3405,U194,2024-01-02 12:57:07.786977,PC-194,Logoff
E3428,U195,2024-01-02 06:01:06.998578,PC-195,Logon
E3429,U195,2024-01-02 13:52:36.886718,PC-195,Logoff
E3449,U196,2024-01-02 06:32:25.113826,PC-196,Logon
E3450,U196,2024-01-02 14:55:57.930287,PC-196,Logoff
E3473,U197,2024-01-02 07:51:07.813799,PC-197,Logon
E3474,U197,2024-01-02 16:24:08.703256,PC-197,Logoff
E3485,U198,2024-01-02 07:22:15.206434,PC-198,Logon
E3486,U198,2024-01-02 16:00:04.213402,PC-198,Logoff
E3494,U199,2024-01-02 07:24:58.104336,PC-199,Logon
E3495,U199,2024-01-02 12:57:25.567314,PC-199,Logoff
E3512,U100,2024-01-03 06:03:50.503126,PC-100,Logon
E3513,U100,2024-01-03 14:45:32.443798,PC-100,Logoff
E3527,U101,2024-01-03 11:09:00.000000,PC-101,Logon
E3528,U101,2024-01-03 19:09:31.462170,PC-101,Logoff
E3545,U102,2024-01-03 06:03:11.796810,PC-102,Logon
E3546,U102,2024-01-03 13:51:15.855961,PC-102,Logoff
E3559,U103,2024-01-03 06:18:57.052445,PC-103,Logon
E3560,U103,2024-01-03 16:10:00.829279,PC-103,Logoff
E3582,U104,2024-01-03 07:47:12.910597,PC-104,Logon
E3583,U104,2024-01-03 14:44:45.071149,PC-104,Logoff
E3602,U105,2024-01-03 06:40:40.011414,PC-105,Logon
E3603,U105,2024-01-03 15:15:14.163011,PC-105,Logoff
E3613,U106,2024-01-03 07:04:21.574237,PC-106,Logon
E3614,U106,2024-01-03 14:47:11.172978,PC-106,Logoff
E3627,U107,2024-01-03 17:27:00.000000,PC-107,Logon
E3628,U107,2024-01-04 01:28:33.476834,PC-107,Logoff
E3635,U108,2024-01-03 06:33:22.194194,PC-108,Logon
E3636,U108,2024-01-03 14:30:48.559145,PC-108,Logoff
E3659,U109,2024-01-03 06:17:26.072143,PC-109,Logon
E3660,U109,2024-01-03 13:44:03.052018,PC-109,Logoff
E3681,U110,2024-01-03 07:07:31.065120,PC-110,Logon
E3682,U110,2024-01-03 16:28:08.503725,PC-110,Logoff
E3704,U111,2024-01-03 14:09:00.000000,PC-111,Logon
E3705,U111,2024-01-03 22:11:54.602724,PC-111,Logoff
E3724,U112,2024-01-03 11:47:00.000000,PC-112,Logon
E3725,U112,2024-01-03 19:20:11.532461,PC-112,Logoff
E3747,U113,2024-01-03 06:07:35.493676,PC-113,Logon
E3748,U113,2024-01-03 13:39:00.003380,PC-113,Logoff
E3759,U114,2024-01-03 07:47:14.738847,PC-114,Logon
E3760,U114,2024-01-03 16:32:10.491149,PC-114,Logoff
E3785,U115,2024-01-03 06:05:26.180631,PC-115,Logon
E3786,U115,2024-01-03 13:12:10.093891,PC-115,Logoff
E3808,U116,2024-01-03 07:27:55.831063,PC-116,Logon
